,DateHome,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin
0,2011-12-25,New York Knicks,Boston Celtics,195.5,5,-210,185,210,2
1,2011-12-25,Dallas Mavericks,Miami Heat,190.5,3.5,185,-210,199,-11
2,2011-12-25,Los Angeles Lakers,Chicago Bulls,186,1.5,205,-245,175,-1
3,2011-12-25,Oklahoma City Thunder,Orlando Magic,197,7.5,-380,310,186,8
4,2011-12-25,Golden State Warriors,Los Angeles Clippers,212,4,175,-200,191,-19
5,2011-12-26,Washington Wizards,New Jersey Nets,191.5,4.5,-165,145,174,-6
6,2011-12-26,Charlotte Bobcats,Milwaukee Bucks,180.5,0,155,-175,191,1
7,2011-12-26,Orlando Magic,Houston Rockets,201,5.5,-265,225,199,9
8,2011-12-26,Cleveland Cavaliers,Toronto Raptors,198.5,3.5,-130,110,200,-8
9,2011-12-26,Indiana Pacers,Detroit Pistons,198,7,-400,325,170,12
10,2011-12-26,Minnesota Timberwolves,Oklahoma City Thunder,209,6,190,-230,204,-4
11,2011-12-26,Dallas Mavericks,Denver Nuggets,202.5,5,-200,170,208,-22
12,2011-12-26,San Antonio Spurs,Memphis Grizzlies,196,5.5,-210,175,177,13
13,2011-12-26,Phoenix Suns,New Orleans Pelicans,195,7,-260,220,169,-1
14,2011-12-26,Sacramento Kings,Los Angeles Lakers,200,3.5,125,-145,191,9
15,2011-12-26,Portland Trail Blazers,Philadelphia 76ers,189,4.5,-200,170,210,4
16,2011-12-26,Golden State Warriors,Chicago Bulls,197,5.5,250,-300,190,8
17,2011-12-27,New Jersey Nets,Atlanta Hawks,184,5,155,-175,176,-36
18,2011-12-27,Miami Heat,Boston Celtics,187,11,-600,450,222,8
19,2011-12-27,Milwaukee Bucks,Minnesota Timberwolves,192,6,-240,200,193,3
20,2011-12-27,Portland Trail Blazers,Sacramento Kings,196,8,-450,350,180,22
21,2011-12-27,Los Angeles Lakers,Utah Jazz,188.5,6,-240,200,167,25
22,2011-12-28,Toronto Raptors,Indiana Pacers,195,2.5,155,-175,175,-5
23,2011-12-28,Charlotte Bobcats,Miami Heat,185,11,600,-800,191,-1
24,2011-12-28,Atlanta Hawks,Washington Wizards,186,9.5,-475,375,184,18
25,2011-12-28,Detroit Pistons,Cleveland Cavaliers,191,6,-235,195,194,-16
26,2011-12-28,New Orleans Pelicans,Boston Celtics,175.5,1.5,170,-200,175,19
27,2011-12-28,Memphis Grizzlies,Oklahoma City Thunder,195,1,100,-120,193,-3
28,2011-12-28,San Antonio Spurs,Los Angeles Clippers,196,4,-200,170,205,25
29,2011-12-28,Denver Nuggets,Utah Jazz,203,9,-1200,700,217,17
30,2011-12-28,Phoenix Suns,Philadelphia 76ers,199,0,105,-125,186,-20
31,2011-12-28,Golden State Warriors,New York Knicks,204,2.5,220,-260,170,14
32,2011-12-29,Orlando Magic,New Jersey Nets,182,12,-800,600,172,16
33,2011-12-29,Houston Rockets,San Antonio Spurs,197,1,135,-155,190,20
34,2011-12-29,Oklahoma City Thunder,Dallas Mavericks,196.5,7.5,-230,190,206,2
35,2011-12-29,Portland Trail Blazers,Denver Nuggets,199,5,-240,200,213,9
36,2011-12-29,Sacramento Kings,Chicago Bulls,186.5,8,310,-380,206,-10
37,2011-12-29,Los Angeles Lakers,New York Knicks,199,4.5,-170,150,181,17
38,2011-12-30,Charlotte Bobcats,Orlando Magic,186.5,5.5,155,-175,179,-21
39,2011-12-30,Indiana Pacers,Cleveland Cavaliers,187,9.5,-550,425,189,7
40,2011-12-30,Boston Celtics,Detroit Pistons,184,10.5,-700,500,181,11
41,2011-12-30,Atlanta Hawks,New Jersey Nets,175.5,11.5,-1000,700,203,7
42,2011-12-30,Minnesota Timberwolves,Miami Heat,204.5,9,350,-450,204,-2
43,2011-12-30,Memphis Grizzlies,Houston Rockets,194,5,-270,230,206,20
44,2011-12-30,New Orleans Pelicans,Phoenix Suns,187.5,3,-140,120,171,-15
45,2011-12-30,Dallas Mavericks,Toronto Raptors,196,9.5,-450,350,185,13
46,2011-12-30,Milwaukee Bucks,Washington Wizards,183.5,9,-460,360,183,21
47,2011-12-30,Utah Jazz,Philadelphia 76ers,192.5,4,170,-200,201,3
48,2011-12-30,Los Angeles Clippers,Chicago Bulls,189.5,1,-105,-115,215,-13
49,2011-12-31,Los Angeles Lakers,Denver Nuggets,200,5.5,-220,180,181,3
50,2011-12-31,Detroit Pistons,Indiana Pacers,183,3.5,120,-140,184,8
51,2011-12-31,Houston Rockets,Atlanta Hawks,188,1,-120,100,179,11
52,2011-12-31,Sacramento Kings,New York Knicks,198.5,1.5,-105,-115,206,-22
53,2011-12-31,Oklahoma City Thunder,Phoenix Suns,198.5,13,-900,650,204,10
54,2011-12-31,San Antonio Spurs,Utah Jazz,196,14,-1500,1000,193,15
55,2011-12-31,Golden State Warriors,Philadelphia 76ers,191,1.5,110,-130,186,-28
56,2012-01-01,Washington Wizards,Boston Celtics,184.5,7,240,-280,180,-8
57,2012-01-01,Cleveland Cavaliers,New Jersey Nets,186,4.5,-135,115,180,16
58,2012-01-01,Orlando Magic,Toronto Raptors,186.5,12,-1100,750,198,6
59,2012-01-01,Miami Heat,Charlotte Bobcats,194,15,-2000,1200,219,39
60,2012-01-01,Minnesota Timberwolves,Dallas Mavericks,204,3.5,120,-140,181,17
61,2012-01-01,Chicago Bulls,Memphis Grizzlies,189,8,-280,240,168,40
62,2012-01-01,Denver Nuggets,Los Angeles Lakers,199,3,-225,185,189,9
63,2012-01-01,Sacramento Kings,New Orleans Pelicans,182.5,3.5,-175,155,176,16
64,2012-01-01,Los Angeles Clippers,Portland Trail Blazers,201,3.5,-155,135,181,5
65,2012-01-02,Phoenix Suns,Golden State Warriors,192,4,-180,160,193,11
66,2012-01-02,New York Knicks,Toronto Raptors,197,8,-400,325,175,-5
67,2012-01-02,Miami Heat,Atlanta Hawks,195,8,-650,500,192,-8
68,2012-01-02,New Jersey Nets,Indiana Pacers,180,4.5,210,-250,202,-14
69,2012-01-02,Boston Celtics,Washington Wizards,185,12.5,-800,600,192,8
70,2012-01-02,Detroit Pistons,Orlando Magic,182,3.5,175,-210,167,11
71,2012-01-02,Minnesota Timberwolves,San Antonio Spurs,200,5,180,-220,202,10
72,2012-01-02,Dallas Mavericks,Oklahoma City Thunder,199.5,1,125,-145,187,13
73,2012-01-02,Denver Nuggets,Milwaukee Bucks,201,6,-200,170,177,5
74,2012-01-02,Utah Jazz,New Orleans Pelicans,181,5.5,-280,240,184,4
75,2012-01-03,Cleveland Cavaliers,Charlotte Bobcats,187,5,-170,150,216,14
76,2012-01-03,Oklahoma City Thunder,Portland Trail Blazers,198,5.5,-200,170,196,-10
